"id","technicianId","inspectedAt","createdAt","deviceId","gateId","taskId","inspectionStatus","deviceCode","deviceName","serialNumber","ipAddress","gateCluster","gateBuilding","gateZone","gateDirection","issueReason","notes"
"4615","51","""2026-07-27T13:19:25.494Z""","""2026-07-27T13:19:25.494Z""","660","","","OK","522","Morpho md","2111SMP0002425","10.254.210.55","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4616","51","""2026-07-27T13:19:43.949Z""","""2026-07-27T13:19:43.949Z""","661","","","OK","523","Morpho md","2111SMP0002562","10.254.210.72","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4617","51","""2026-07-27T13:20:23.277Z""","""2026-07-27T13:20:23.277Z""","662","","","OK","524","Morpho md","2125SMP0000457","10.254.210.74","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4618","51","""2026-07-27T13:21:52.922Z""","""2026-07-27T13:21:52.922Z""","1539","","","OK","1415","Morpho md","2125smp0000938","10.254.210.207","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4619","51","""2026-07-27T13:22:08.341Z""","""2026-07-27T13:22:08.341Z""","1540","","","OK","1416","Morpho md","2111smp0001086","10.254.210.206","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4620","51","""2026-07-27T13:22:23.302Z""","""2026-07-27T13:22:23.302Z""","1541","","","OK","1417","Morpho md","2125smp0001070","10.254.210.205","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4621","51","""2026-07-27T13:22:41.416Z""","""2026-07-27T13:22:41.416Z""","1542","","","OK","1418","Morpho md","2125smp0000112","10.254.210.204","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4622","51","""2026-07-27T13:23:03.295Z""","""2026-07-27T13:23:03.295Z""","1543","","","OK","1419","Morpho md","2120smp0000155","10.254.210.203","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4623","51","""2026-07-27T13:23:22.841Z""","""2026-07-27T13:23:22.841Z""","1544","","","OK","1420","Morpho md","2125smp0000280","10.254.210.202","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4624","51","""2026-07-27T13:23:38.843Z""","""2026-07-27T13:23:38.843Z""","1545","","","OK","1421","Morpho md","2238smp0000155","10.254.210.85","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4625","51","""2026-07-27T13:23:55.937Z""","""2026-07-27T13:23:55.937Z""","1546","","","OK","1422","Morpho md","2124smp0001019","10.254.210.84","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4626","51","""2026-07-27T13:24:14.342Z""","""2026-07-27T13:24:14.342Z""","670","","","OK","532","Morpho md","2147SMP0000042","10.254.210.83","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4627","51","""2026-07-27T13:24:28.560Z""","""2026-07-27T13:24:28.560Z""","669","","","OK","531","Morpho md","2143SMP0000558","10.254.210.82","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4628","51","""2026-07-27T13:24:44.384Z""","""2026-07-27T13:24:44.384Z""","668","","","OK","530","Morpho md","2124SMP0001545","10.254.210.81","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4629","51","""2026-07-27T13:24:58.681Z""","""2026-07-27T13:24:58.681Z""","667","","","OK","529","Morpho md","2125SMP0000686","10.254.210.80","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4630","51","""2026-07-27T13:25:16.503Z""","""2026-07-27T13:25:16.503Z""","666","","","OK","528","Morpho md","2125SMP0002167","10.254.210.79","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4631","51","""2026-07-27T13:25:33.054Z""","""2026-07-27T13:25:33.054Z""","665","","","OK","527","Morpho md","2124SMP0000854","10.254.210.78","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4632","51","""2026-07-27T13:25:46.985Z""","""2026-07-27T13:25:46.985Z""","664","","","OK","526","Morpho md","2111SMP0001949","10.254.210.77","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
